10yardfight "10-Yard Fight (USA)"
armadilloj "Armadillo (Japan)"
armedbat "Armed for Battle (HB)"
armedbatle "Armed for Battle - Limited Edition (HB)"
armeddrafanvil "Armed Dragon Fantasy Villgust (Hack, English)"
armeddrafanvilj "Armed Dragon Fantasy Villgust ~ Kouryuu Densetsu Villgust Gaiden (Japan)"
armwrestl "Arm Wrestling Classic, The (HB)"
asmikkunland "Asmik-kun Land (Hack, English)"
asmikkunlandj "Asmik-kun Land (Japan)"
asojpn "ASO - Armored Scrum Object (Japan)"
aspectstarn "Aspect Star N (HB)"
assimilate "Assimilate (HB)"
asteka2 "Taiyou no Shinden - Asteka 2 (Japan)"
asterix "Asterix (Euro)"
asterixec "Asterix - Enhanced Colors (Hack)"
astralworld "Astral World (GlobalHack)"
astroboy "Astro Boy (Hack, English)"
astrofan "Astro Fang - Super Machine (Hack, English)"
astrofanj "Astro Fang - Super Machine (Japan)"
astronm "Astro Ninja Man (HB)"
astronmdx "Astro Ninja Man DX (HB)"
astrorobosasa "Astro Robo Sasa (Japan)"
astyanax "Astyanax (USA)"
astyanaxc "Astyanax (Hack, Chinese v1.1)"
athena "Athena (USA)"
atlantisnonazo "Atlantis no Nazo (Hack, English)"
atlantisnonazoj "Atlantis no Nazo (Japan)"
atrain "A Ressha de Ikou ~ A-Train (Hack, English)"
atrainj "A Ressha de Ikou (Japan)"
attacanigak "Attack Animal Gakuen (Hack, English)"
attacanigakj "Attack Animal Gakuen (Japan)"
attackiltom "Attack of the Killer Tomatoes (USA)"
avmahjongclubc "AV Mahjong Club (Hack, Chinese) (Unl)"
avpregirfig "AV Pretty Girl Fight (Unl)"
awakening "Alwa's Awakening (HB)"
awakeningp "Alwa's Awakening (HB, Prototype)"
awol "AWOL (HB)"
babelnotou "Babel no Tou (Japan)"
babyboomer "Baby Boomer (USA)"
backfut "Back to the Future (USA)"
backfutenh "Back to the Future - Enhanced Edition (Hack, v1.1)"
backfutpariiiii "Back to the Future Part II & III (USA)"
backquestp "Backwards Quest (HB, Prototype v18)"
badapple "Bad Apple (HB, Tech-Demo)"
baddudes "Bad Dudes (USA)"
badnewbas "Bad News Baseball (USA)"
badstrbra "Bad Street Brawler (USA)"
ballblazer "Ballblazer (Japan)"
balloonfight "Balloon Fight (USA)"
balloonmonster "Balloon Monster (Unl)"
ballstand "Balloon Stand (HB)"
ballsto "Ball Story - Jong Yuk Chuen Suet Fa Jong II (China) (Unl)"
baltron "Baltron (Japan)"
banana "Banana (Japan)"
bananabashdemo "Banana Bash! - Demo (HB)"
bananaprince "Banana Prince (Hack, English)"
bananaprinceg "Banana Prince (Euro, Germany)"
bananaprincej "Banana Prince (Japan)"
bandana "Bandana (HB)"
bandikinancchi "Bandit Kings of Ancient China (USA)"
barback "Barback (HB)"
barkebilstrish "Barker Bill's Trick Shooting (USA)"
baseballstars "Baseball Stars (USA)"
basebsim1000 "Baseball Simulator 1.000 (USA)"
basebstaii "Baseball Stars II (USA)"
basesloaded "Bases Loaded (USA)"
basesloaded3 "Bases Loaded 3 (USA)"
basesloaded4 "Bases Loaded 4 (USA)"
basesloaii "Bases Loaded II - Second Season (USA)"
basewars "Base Wars (USA)"
bashibaz "Bashi Bazook - Morphoid Masher (USA, Prototype)"
bassedefadv "Basse Def Adventures (HB)"
batlizard "Bat Lizard Bonanza (HB)"
batmanreturns "Batman Returns (USA)"
batmanreturnsbe "Batman Returns - Black Edition (Hack, Ver. Ultima)"
batmaretjok "Batman: Return of the Joker (USA)"
batmaretjokbe "Batman: Return of the Joker - Black Edition (Hack, Ver. Ultima)"
batmavidgam "Batman: The Video Game (USA)"
batmavidgambe "Batman: The Video Game - Black Edition (Hack, Ver. Ultima)"
batmavidgamc "Batman: The Video Game (Hack, Chinese)"
batmavidgamj "Batman: The Video Game (Japan)"
batsuterii "Batsu & Terii (Japan)"
batterychad "Battery Chad - Shock the World (HB)"
battldoudra "Battletoads-Double Dragon (USA)"
battlebaseball "Battle Baseball (Japan)"
battlechess "Battle Chess (USA)"
battlecity "Battle City (Japan)"
battleformula "Battle Formula (Japan)"
battler "Battler (HB)"
battleship "Battleship (USA)"
battleshipc "Battleship (Hack, Spanish)"
battletank "Battle Tank (USA)"
battletoads "Battletoads (USA)"
battlkid "Battle Kid - Fortress of Peril (HB, Japan)"
battlkid2 "Battle Kid 2 - Mountain of Torment (HB, USA)"
battloly "Battle of Olympus, The (USA)"
battlolyc "Battle of Olympus, The (Hack, Spanish v1.1)"
bbbabes "Bubble Bath Babes (USA) (Unl)"
beatlesadv "Beatles Adventures in Pepperland, The (GlobalHack)"
beautandbea "Beauty and the Beast (Euro)"
bee52 "Bee 52 (USA)"
beee "Beat 'Em & Eat 'Em (HB)"
beerslinger "BeerSlinger (HB)"
beetlejuice "Beetlejuice (USA)"
berserk "Berserk (HB)"
beyopins "Beyond the Pins (HB)"
bibleadventures "Bible Adventures (Unl)"
biblebuffet "Bible Buffet (Unl)"
bigfoot "Bigfoot (USA)"
bignoscav "Big Nose the Caveman (USA)"
bignosfreout "Big Nose Freaks Out (USA)"
biknekiroku "Bikkuri Nekketsu Shin Kiroku! - Harukanaru Kin Medal (Japan)"
billtedsexcvigaad "Bill & Ted's Excellent Video Game Adventure (USA)"
binarycity "Binary City (Hack)"
binaryland "Binary Land (Japan)"
biocats "Biocats (HB)"
bioforceape "Bio Force Ape (Japan, English, Prototype)"
biohaz8bit "Bio Hazard 8bit (HB)"
biohazard "Bio Hazard (Hack, English)"
biohazardc "Bio Hazard (China) (Unl)"
biomirbokupa "Bio Miracle Baby Upa!! (Hack, English)"
biomirbokupaj "Bio Miracle Bokutte Upa (Japan)"
bioniccommando "Bionic Commando (USA)"
