10yardfight "10-Yard Fight (USA)"
dokidokyuu "Doki!Doki! Yuuenchi - Crazy Land Daisakusen (Hack, English)"
dokidokyuuj "Doki!Doki! Yuuenchi - Crazy Land Daisakusen (Japan)"
donaldduck "Donald Duck (Japan)"
donaldland "Donald Land (Japan)"
dondokodon "Don Doko Don (Japan)"
dondokodon2 "Don Doko Don 2 (Hack, English)"
dondokodon2c "Don Doko Don 2 (Hack, Chinese)"
dondokodon2j "Don Doko Don 2 (Japan)"
donkekoncou4 "Donkey Kong Country 4 (Taiwan) (Unl)"
donkekoncouh "Donkey Kong Country NES Edition (Hack)"
donkeykong "Donkey Kong (World, Rev A)"
donkeykong3 "Donkey Kong 3 (USA)"
donkeykongjr "Donkey Kong Jr. (World, Rev A)"
donsol "Donsol (HB, v15)"
doodleworld "Doodle World (HB)"
doodleworldrdw "Doodle World Redrawn (HB)"
doolybravoland "Dooly Bravo Land (Korea)"
doordoor "Door Door (Japan)"
dorae "Doraemon - Giga Zombie no Gyakushuu (Hack, English)"
doraej "Doraemon - Giga Zombie no Gyakushuu (Japan)"
doraemon "Doraemon (Japan, Rev A)"
doubldraii "Double Dragon II - The Revenge (USA)"
doubldraiic "Double Dragon II - The Revenge (Hack, Spanish)"
doubldraiii "Double Dragon III - The Sacred Stones (USA)"
doubldraiiic "Double Dragon III - The Sacred Stones (Hack, Spanish)"
doubldraiiij "Double Dragon III - The Rosetta Stones (Japan)"
doubldraiiisc "Double Dragon III - The Sacred Stones (Hack, Chinese)"
doubldraiij "Double Dragon II - The Revenge (Japan)"
doubledare "Double Dare (USA)"
doubledragon "Double Dragon (USA)"
doubledragonc "Double Dragon (Hack, Spanish v1.1)"
doubledragonj "Double Dragon (Japan)"
doubledream "Double Dream (HB, v0.2.0)"
doubledribble "Double Dribble (USA)"
doublestrike "Double Strike (Unl)"
doublmooden "Double Moon Densetsu (Hack, English)"
doublmoodenj "Double Moon Densetsu (Japan)"
doughboy "Dough Boy (Japan)"
downtnekkousorda "Downtown - Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan)"
downtnekkousordac "Downtown - Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Hack, Chinese)"
downtnekmon "Downtown - Nekketsu Monogatari (Japan)"
downtnekmonc "Downtown - Nekketsu Monogatari (Hack, Chinese)"
downtspekunkunnojid "Downtown Special - Kunio-kun no Jidaigeki Da yo Zenin Shuugou! (Japan)"
dracsnightout "Drac's Night Out (USA, Prototype)"
dragninjae "Dragon Ninja (Hack, English)"
dragninjaj "Dragon Ninja (Japan)"
dragninjas "Dragon Ninja (Hack, Spanish v1.1)"
dragobal3gokden "Dragon Ball 3 - Gokuu Den (Japan)"
dragobaldaimaofu "Dragon Ball - Revival of the Dark Lord (Hack, English)"
dragobaldaimaofuj "Dragon Ball - Dai Maou Fukkatsu (Japan)"
dragobalshelonnona "Dragon Ball - Dragon Mystery? (Hack, English)"
dragobalshelonnonaj "Dragon Ball - Shen Long no Nazo (Japan)"
dragobalzgaisajinze "Dragon Ball Z Gaiden - Saiya Jin Zetsumetsu Keikaku (Hack, English)"
dragobalzgaisajinzeje "Dragon Ball Z Gaiden - Saiya Jin Zetsumetsu Keikaku (Japan)"
dragobalziigefr "Dragon Ball Z II - Gekishin Freeza!! (Hack, English v1.02)"
dragobalziigefrj "Dragon Ball Z II - Gekishin Freeza!! (Japan)"
dragobalziiirejini "Dragon Ball Z III - Ressen Jinzou Ningen (Hack, English)"
dragobalziiirejinic "Dragon Ball Z III - Ressen Jinzou Ningen (Hacl, Spanish v1.0a)"
dragobalziiirejinij "Dragon Ball Z III - Ressen Jinzou Ningen (Japan)"
dragobalzkyosajin "Dragon Ball Z - Assault of the Saiyans (Hack, English)"
dragobalzkyosajinj "Dragon Ball Z - Kyoushuu! Saiya Jin (Japan)"
dragobalzsupbu2 "Dragon Ball Z - Super Butouden 2 (Hack, English)"
dragobalzsupbu2c "Dragon Ball Z - Super Butouden 2 (Taiwan, v1.1) (Unl)"
dragobalzsupbu2s "Dragon Ball Z - Super Butouden 2 (Hack, Spanish v1.2)"
dragobusii "Dragon Buster II - Yami no Fuuin (Hack, English)"
dragobusiij "Dragon Buster II - Yami no Fuuin (Japan)"
dragobusiis "Dragon Buster II - Yami no Fuuin (Hack, Spanish)"
dragonballz5 "Dragon Ball Z 5 (China) (Unl)"
dragonbuster "Dragon Buster (Japan)"
dragonbusterc "Dragon Buster (Hack, Spanish)"
dragonfighter "Dragon Fighter (USA)"
dragonknife "Dragon Knife (Hack, English)"
dragonknifec "Dragon Knife (China) (Unl)"
dragonpower "Dragon Power (USA)"
dragonrunning "Dragon Running (Unl)"
dragonslair "Dragon's Lair (USA)"
dragonslairc "Dragon's Lair (Hack, Spanish)"
dragonwarrior "Dragon Warrior (USA)"
dragonwarriorc "Dragon Warrior (Hack, Spanish)"
dragoscr "Dragon Scroll: Resurrection of the Demon Dragon (Hack, English)"
dragoscrj "Dragon Scroll: Yomigaerishi Maryuu (Japan)"
dragosla4 "Dragon Slayer 4 - Drasle Family (Japan)"
dragospiaraden "Dragon Spirit: Aratanaru Densetsu (Japan)"
dragospinewleg "Dragon Spirit: The New Legend (USA)"
dragowarii "Dragon Warrior II (USA)"
dragowariii "Dragon Warrior III (USA)"
dragowariiic "Dragon Warrior III (Hack, Spanish v0.9)"
dragowariv "Dragon Warrior IV (USA)"
dragowarivc "Dragon Warrior IV (Hack, Spanish)"
draiocht "Draiocht (HB)"
drchaos "Dr. Chaos (USA)"
dreamworldpogie "Dreamworld Pogie (Prototype)"
drgarfield "Dr. Garfield (Hack, v22)"
driar "Driar (HB)"
dringle "Dringle (Unl)"
drjekandmrhy "Dr. Jekyll and Mr. Hyde (USA)"
drlady "Dr. Lady Decade (Hack, v1.0)"
drmario "Dr. Mario (Japan, USA, Rev A)"
drmarioif "Dr. Mario - Input Fixes (Hack, v1.0)"
drmariot "Dr. Mario Turbo (Hack, v1.0)"
dropzone "Dropzone (Euro)"
drretro "Dr. Retro (Hack, v3.7)"
druaganotou "Druaga no Tou (Japan)"
duckhunt "Duck Hunt (USA)"
duckmaze "Duck Maze (USA)"
ducktales "DuckTales (USA)"
ducktales2 "DuckTales 2 (USA)"
ducktales2c "DuckTales 2 (Hack, Chinese v1.2)"
ducktales2cast "DuckTales 2 (Hack, Spanish v1.1)"
ducktalesc "DuckTales (Hack, Spanish v1.1)"
dude "Dude - The Deck Swabber (HB)"
dudeswitatt "Dudes With Attitude (USA) (Unl)"
dungdoom "Dungeons & Doomknights (HB)"
dungemag "Dungeon Magic - Sword of the Elements (USA)"
dushlan "Dushlan (HB)"
dustydiasallstso "Dusty Diamond's All-Star Softball (USA)"
dveelng "D'Veel'Ng (HB)"
dynablaster "Dynablaster (Euro)"
dynamitebatman "Dynamite Batman (Japan)"
dynamitebowl "Dynamite Bowl (Japan)"
dynow "Dynowarz - Destruction of Spondylus (USA)"
earthbound "Earthbound (USA, Prototype)"
earthboundb "EarthBound Beginnings (Hack)"
earthboundbi "EarthBound (Hack, Italian v1.1)"
earthboundc "EarthBound Zero (Hack, Spanish v2.2)"
earthboundzero "Earth Bound Zero (Hack)"
earthboundzeroc "EarthBound Zero (Hack, Spanish v0.99)"
echocamb "Echo Chamber (Unl)"
eeeaaaooo "EEEAAAOOO - aka AAAEEEOOO (HB, Tech-Demo)"
eeeck "Eeeck! A Mouse! (Unl)"
egypt "Egypt (Hack, English v1.0a)"
egyptj "Egypt (Japan)"
egypto "Egypt (Hack, English)"
elevatoraction "Elevator Action (USA)"
elevatoractionc "Elevator Action (Hack, Spanish)"
elfland "Elfland (Unl)"
elimiboadue "Eliminator Boat Duel (USA)"
elite "Elite (Euro)"
elnarknozaihou "Elnark no Zaihou (Japan)"
empircit "Empire City - 1931 (Japan)"
enigmacore "Enigmacore (HB)"
enormadv "Enormous Adventures (HB, v1.1)"
erika "Erika and Satoru's Dream Adventure (Hack, English)"
erikaj "Erika to Satoru no Yume Bouken (Japan)"
escapfroatl "Escape From Atlantis, The (Prototype)"
eskimbobdeledi "Eskimo Bob, Starring Alfonzo - Deluxe Edition (HB, v1.2)"
esperboukentai "Esper Bouken Tai (Japan)"
espercorps "Esper Corps (Hack, English v1.01)"
esperdre2 "Esper Dream 2 - Aratanaru Tatakai (Hack, English)"
esperdre2j "Esper Dream 2 - Aratanaru Tatakai (Japan)"
espitene "Espitene (HB)"
espitundherpim "Espitenen und herr Pimponen (HB)"
et "E.T. - The Extra Terrestrial (HB)"
etdx "E.T. - The Extra Terrestrial DX (HB)"
evildead "Evil Dead - Ash lives! (GlobalHack)"
excitebike "Excitebike (Japan, USA)"
excitingboxing "Exciting Boxing (Japan)"
excitral "Exciting Rally - World Rally Championship (Japan)"
exerion "Exerion (Japan)"
exodus "Exodus - Journey to the Promised Land (USA) (Unl)"
expedition "Expedition (HB)"
explodingfist "Exploding Fist (USA, Prototype)"
explodingfistpi "Exploding Fist (HB)"
eyra "Eyra - The Crow Maiden (HB)"
f117stefig "F-117A Stealth Fighter (USA)"
f15citywar "F-15 City War (USA) (Unl)"
f15streag "F-15 Strike Eagle (USA)"
f1circus "F1 Circus (Hack, English)"
f1circusj "F1 Circus (Japan)"
f1hero "F-1 Hero (Japan)"
f1hero2 "F-1 Hero 2 (Japan)"
f1race "F-1 Race (Japan)"
f1sensation "F-1 Sensation (Japan)"
fallingtiles "Falling Tiles (HB, Rev B)"
famdepon "Famicom De Pon (HB)"
famicjum "Famicom Jump - Eiyuu Retsuden (Japan)"
famicjumii "Famicom Jump II - Saikyou no 7 Nin (Japan)"
famicjump "Famicom Jump - Heroes History (Hack, English v1.03)"
famicomwars "Famicom Wars (Hack, English)"
famicomwarsj "Famicom Wars (Japan)"
famidash "Famidash (HB, v1.2.1)"
famidashb "Famidash - Side B (HB, v1.2.1)"
familcir91 "Family Circuit '91 (Japan)"
familyboxing "Family Boxing (Japan)"
familycircuit "Family Circuit (Hack, English v0.95)"
familycircuitj "Family Circuit (Japan)"
familypicross "Family Picross! (HB)"
familypinball "Family Pinball (Japan)"
famista89 "Famista '89 (Japan)"
famista90 "Famista '90 (Japan)"
famista91 "Famista '91 (Japan)"
famista92 "Famista '92 (Japan)"
famista93 "Famista '93 (Japan)"
famista93e "Famista '93 (Hack, English)"
famista94 "Famista '94 (Japan)"
fantaadvdiz "Fantastic Adventures of Dizzy, The (USA)"
fantasyzone "Fantasy Zone (USA)"
fantasyzonej "Fantasy Zone (Japan)"
fantazonii "Fantasy Zone II - Opa-Opa no Namida (Japan)"
faria "Faria - A World of Mystery & Danger! (USA)"
fariaj "Faria - Fuuin no Tsurugi (Japan)"
faxanadu "Faxanadu (USA, Rev A)"
faxanaduc "Faxanadu (Hack, Spanish)"
faxanaduj "Faxanadu (Japan)"
faxanadut "Faxanadu (Hack, English)"
fcgenjin "FC Genjin: Freakthoropus Computerus (Japan)"
felixthecat "Felix the Cat (USA)"
ferragrapricha "Ferrari Grand Prix Challenge (USA)"
festersquest "Fester's Quest (USA)"
festersquestc "Fester's Quest (Hack, Chinese)"
fieldcombat "Field Combat (Japan)"
fightheriii "Fighting Hero III (Unl)"
fightinggolf "Fighting Golf (Japan)"
fightinghero "Fighting Hero (Unl)"
fightingroad "Fighting Road (Hack, English)"
fightingroadj "Fighting Road (Japan)"
filthyktcn "Filthy Kitchen (HB)"
finalcombat "Final Combat (Asia) (Unl)"
finalfan12 "Final Fantasy 1 & 2 (Hack, English)"
finalfan12j "Final Fantasy 1 & 2 (Japan)"
finalfaniii "Final Fantasy III (Japan)"
finalfaniiic "Final Fantasy III (Hack, Spanish)"
finalfantasy "Final Fantasy (USA)"
finalfantasyc "Final Fantasy (Hack, Spanish)"
finalfantasyi "Final Fantasy (Hack, Italian)"
finalfantasyii "Final Fantasy II (USA, Prototype)"
finalfantasyiic "Final Fantasy II (Hack, Spanish)"
finalfanvii "Final Fantasy VII (China) (Unl)"
finalfanviiadvch "Final Fantasy VII - Advent Children (Hack, English)"
finalfight3 "Final Fight 3 (Taiwan) (Unl)"
finallap "Final Lap (Japan)"
finalmission "Final Mission (Hack, English)"
finalmissionj "Final Mission (Japan)"
finalmissionjc "Final Mission (Hack, Chinese)"
firedragon "Fire Dragon (Taiwan) (Unl)"
fireemb "Fire Emblem - Ankoku Ryuu to Hikari no Tsurugi (Hack, English)"
fireembc "Fire Emblem - Ankoku Ryuu to Hikari no Tsurugi (Hack, Chinese)"
fireembgai "Fire Emblem Gaiden (Hack, English)"
fireembgaic "Fire Emblem Gaiden (Hack, Chinese v2.0)"
fireembgaij "Fire Emblem Gaiden (Japan)"
fireembj "Fire Emblem - Ankoku Ryuu to Hikari no Tsurugi (Japan)"
firehawk "Fire Hawk (USA)"
firehouserescue "Firehouse Rescue (USA)"
firenice "Fire 'n Ice (USA)"
firenicell "Fire 'n Ice - The Lost Levels (Hack, v1.1)"
firerescue "Fire and Rescue (HB, v1.1)"
firerescuev2 "Fire and Rescue (HB, v2.0)"
fishstory "Fish Story (Unl)"
fistnorsta "Fist of the North Star (USA)"
fivedays "Five Days (Unl)"
flaphappy "Flap Happy (HB)"
flappy "Flappy (Japan)"
flappybird "Flappy Bird (HB)"
flea "FLEA! (HB)"
flea2 "FLEA!2 (HB)"
fleademo "FLEA! Demo (HB)"
flighint "Flight of the Intruder (USA)"
flintresdinhop "Flintstones, The - The Rescue of Dino & Hoppy (USA)"
flintresdinhopc "Flintstones, The - The Rescue of Dino & Hoppy (Hack, Chinese)"
flintresdinhopj "Flintstones, The - The Rescue of Dino & Hoppy (Japan)"
flintsuratdinpe "Flintstones, The - The Surprise at Dinosaur Peak! (USA)"
flipull "Flipull - An Exciting Cube Game (Japan)"
fluffy "Fluffy Space Escape (HB)"
flyaway "Fly a Way (HB)"
flyindra "Flying Dragon - The Secret Scroll (USA)"
flyinghero "Flying Hero (Japan)"
flyingwarriors "Flying Warriors (USA)"
foalscreek "Foals Creek (Russian) (HB)"
foalscreeken "Foals Creek (English) (HB)"
forcebot "Force Bot (HB)"
formationz "Formation Z (Japan, Rev A)"
formuone "Formula One - Built To Win (USA)"
frank "Frankenstein - The Monster Returns (USA)"
freedomforce "Freedom Force (USA)"
freefall "Free Fall (USA, Prototype)"
frenzy "Frenzy A7800 (HB)"
fridaythe13th "Friday the 13th (USA)"
fridaythe13thc "Friday the 13th (Hack, Spanish v1.1)"
frog "Frog (HB)"
frogadv "Frog Adventure (Unl)"
frombelow "From Below (HB, v1.0)"
frontline "Front Line (Japan)"
ftheta "F-Theta (HB)"
ftkantaro53 "Firework Thrower Kantaro's 53 Stations of the Toukaido (World)"
fudoumyououden "Fudou Myouou Den (Japan)"
fullquiet "Full Quiet (Test Cart) (HB, Prototype)"
fullquietrv "Full Quiet (HB)"
funhouse "Fun House (USA)"
fushiblobby "Fushigi na Blobby - Blobania no Kiki (Japan)"
fuzzicalfighter "Fuzzical Fighter (Hack, English)"
fuzzicalfighterj "Fuzzical Fighter (Japan)"
gadget "Inspector Gadget (Hack)"
gaiapolis "Gaiapolis (Taiwan) (Unl)"
galaccru "Galactic Crusader (Taiwan) (Unl)"
galaga "Galaga - Demons of Death (USA)"
galaxian "Galaxian (Japan)"
galaxiane "Galaxian Enhanced (Hack)"
galaxy5000 "Galaxy 5000 (USA)"
galf "Galf (HB)"
gameparty "Game Party (Japan)"
ganbagoe "Ganbare Goemon! - Karakuri Douchuu (Hack, English)"
ganbagoec "Ganbare Goemon! - Karakuri Douchuu (Hack, Spanish)"
ganbagoegai "Ganbare Goemon Gaiden - Kieta Ougon Kiseru (Hack, English)"
ganbagoegai2 "Ganbare Goemon Gaiden 2 - Tenka no Zaihou (Hack, English)"
ganbagoegai2c "ganbagoegai2c"
ganbagoegai2j "Ganbare Goemon Gaiden 2 - Tenka no Zaihou (Japan)"
ganbagoegaic "Ganbare Goemon Gaiden - Kieta Ougon Kiseru (Hack, Spanish v0.99)"
ganbagoegaij "Ganbare Goemon Gaiden - Kieta Ougon Kiseru (Japan)"
ganbagoej "Ganbare Goemon! - Karakuri Douchuu (Japan)"
ganbapenrac "Ganbare Pennant Race! (Japan)"
ganbaregoemon2 "Ganbare Goemon 2 ~ Go for it! Goemon 2 (Hack, English v2.0)"
ganbaregoemon2c "Ganbare Goemon 2 (Hack, Spanish v0.99)"
ganbaregoemon2j "Ganbare Goemon 2 (Japan)"
gansosai "Ganso Saiyuuki - Super Monkey Daibouken (Hack, English)"
gansosaij "Ganso Saiyuuki - Super Monkey Daibouken (Japan)"
gaplus "Gaplus (World)"
garbpailkids "Garbage Pail Kids Mad Mike and the Quest for Stale Gum (HB)"
gardenwar "Garden War (Unl)"
garfi "Garfield no Isshukan - A Week of Garfield (Japan)"
garfiop "Garfield - A Week of Garfield OVERHAUL Project (Hack)"
gargosqueii "Gargoyle's Quest II (USA)"
gauntlet "Gauntlet (USA)"
gauntletii "Gauntlet II (USA)"
gegegnokit "Gegege no Kitarou - Youkai Daimakyou (Japan)"
geimos "Geimos (Japan)"
gekikninden "Gekikame Ninja Den (Japan)"
gekityonbat "Gekitotsu Yonku Battle (Japan)"
gemfire "Gemfire (USA)"
gemventure "GemVenture (HB)"
genghiskhan "Genghis Khan (USA)"
genuinemonkey "Genuine Monkey (Hack, English)"
genuinemonkeyc "Genuine Monkey (China) (Unl)"
georgforskobo "George Foreman's KO Boxing (USA)"
germsquash "Germ Squashers (HB)"
getemgary "Get'Em Gary (HB)"
getsufuumaden "Getsu Fuuma Den (Japan)"
gggg "Gold Guardian Gun Girl (HB)"
ghostbrm "Ghostbusters Remastered (HB, v1.1)"
ghostbusters "Ghostbusters (USA)"
ghostbustersii "Ghostbusters II (USA)"
ghostlion "Ghost Lion, Legend of the (USA)"
ghostsngoblins "Ghosts'n Goblins (USA)"
ghostsngoblinsh "Ghosts'n Goblins - Easy Mode (Hack, v2.0)"
ghoulgrind "Ghoul Grind Night of the Necromancer (HB)"
ghoulschool "Ghoul School (USA)"
gijoeareamhe "G.I. Joe - A Real American Hero (USA)"
gijoeatlfa "G.I. Joe - The Atlantis Factor (USA)"
gimmick "Gimmick! (Japan)"
gimmickc "Gimmick! (Hack, Chinese)"
gleamy "Gleamy the Cube (HB)"
glukthuwar "Gluk the Thunder Warrior (Spain) (Gluk Video) (Unl)"
gngolfp "Greg Norman's Golf Power (USA)"
goal "Goal! (USA)"
goaltwo "Goal! Two (USA)"
gobenny "Go! Benny! (Unl)"
godizzygo "Go! Dizzy Go! (USA)"
godsla "God Slayer - Haruka Tenkuu no Sonata (Japan)"
godzi "Godzilla - Monster of Monsters! (USA)"
godzi2 "Godzilla 2 - War of the Monsters (USA)"
goldenaxeiii "Golden Axe III (China) (Unl)"
goldenfive "Golden Five (Pegasus 5-in-1) (Unl)"
golf "Golf (USA)"
golfgs "Golf Grand Slam (USA)"
golfgsj "Golf Grand Slam (Japan)"
golfj "Golf (Japan)"
golgo13 "Golgo 13 - Top Secret Episode (USA)"
golgo13c "Golgo 13 - Top Secret Episode (Hack, Spanish)"
golgo13sc "Golgo 13 - Daiisshou - Kamigami no Tasogare (Hack, Chinese)"
gomoku "Gomoku Narabe Renju (Hack, English)"
gomokuc "Gomoku Narabe Renju (Hack, Chinese)"
gomokuj "Gomoku Narabe Renju (Japan)"
goonies "Goonies, The (Japan)"
gooniesc "Goonies, The (Hack, Spanish)"
gooniesiithe "Goonies II, The (USA)"
gooniesiithec "Goonies II, The (Hack, Spanish v1.1)"
gorbynopipdai "Gorby no Pipeline Daisakusen (Japan)"
gotcha "Gotcha! - The Sport! (USA)"
gourmetworld "Wanpaku Kokkun no Gourmet World (Japan)"
gradius "Gradius (USA)"
gradiusii "Gradius II (Japan)"
gradiusiiacd "Gradius II - Arrangement Chronicle Death (Hack, v2.0)"
gradiusj "Gradius (Japan)"
granavesubla "Gran Aventura Submarina, La ~ Sea of Dreamland (Spain)"
grandmaster "Grand Master (Hack, English)"
grandmasterc "Grand Master (Hack, Chinese v1.1)"
grandmasterj "Grand Master (Japan)"
grandmasterjc "Grand Master (Hack, Spanish)"
gravedude "Graveyard Dude (HB)"
greatbatcyb "Great Battle Cyber (Japan)"
greatbox "Great Boxing - Rush Up (Japan)"
greatmaze "Great Maze, The: Master of the Maze (Hack, English)"
greattank "Great Tank (Japan)"
greatwalsea "Great Waldo Search, The (USA)"
greml2 "Gremlins 2 - The New Batch (USA)"
gremlins "Gremlins (Hack)"
grimshire "Secret of Grimshire (HB)"
gruni "Gruniozerca (HB)"
gruni2 "Gruniozerca 2 - The Great Cavy Rescue! (HB)"
gruni3 "Gruniozerca 3 - The Great Cavy Clean-Up! (HB)"
guardicgaiden "Guardic Gaiden (Japan)"
guardicgaidenc "Guardic Gaiden (Hack, Chinese v1.1)"
guardleg "Guardian Legend, The (USA)"
guerrillawar "Guerrilla War (USA)"
guevara "Guevara (Japan)"
gumshoe "Gumshoe (USA)"
gundec "Gun-Dec (Hack, English)"
gundecc "Gun-Dec (Hack, Chinese)"
gundecj "Gun-Dec (Japan)"
gunhawk "Gunhawk (HB, v1.1)"
gunhed "Gunhed - Aratanaru Tatakai (Japan)"
gunnac "Gun Nac (USA)"
gunnacc "Gun Nac (Hack, Chinese)"
gunnacj "Gun Nac (Japan)"
gunnact "Gun Nac (Hack, English)"
gunsight "Gun Sight (Japan)"
gunsmoke "Gun.Smoke (USA)"
gunsmokec "Gun.Smoke (Hack, Chinese)"
guntner "GunTneR (HB)"
gyrodine "Gyrodine (Japan)"
gyromite "Gyromite (USA)"
gyromitese "Gyromite Special Edition (Hack)"
gyruss "Gyruss (USA)"
gyrussc "Gyruss (Hack, Chinese)"
hackmatch "Hack*Match (HB)"
halloween85 "Haunted Halloween '85 (HB)"
halloween86 "Haunted Halloween '86 (HB)"
halloween86a "Haunted Halloween '86 (HB, Alt)"
halloween86roe "Haunted Halloween '86 - Remastered Onslaught Edition (HB)"
hammerinharry "Hammerin' Harry (Euro)"
hangman "NES Hangman (HB)"
happilyea "Happily Ever After (USA, Prototype)"
happycamper "Happy Camper (USA, Prototype)"
haradiuszero "Haradius Zero (HB, v1.2a)"
haraforce "HaraForce (HB, v1.00)"
haraforcemmc5 "HaraForce (HB, v1.00, MMC5)"
haratylerhg "Haratyler HG (HB, v1.10)"
harleglo "Harlem Globetrotters (USA)"
harrydwarf "Harry Dwarf (HB)"
hatris "Hatris (USA)"
hauntedadv "Haunted House Adventure (HB)"
hbcpball "HBC Phutball (HB)"
heavybarrel "Heavy Barrel (USA)"
heavyshreddin "Heavy Shreddin' (USA)"
hebereke "Hebereke (Hack, English)"
heberekec "Hebereke (Hack, Chinese)"
heberekej "Hebereke (Japan)"
hector87 "Hector '87 (Japan)"
heisetenbak "Heisei Tensai Bakabon ~ Genius Bakabon, The (Hack, English)"
heisetenbakj "Heisei Tensai Bakabon (Japan)"
heist "Heist (HB)"
hellfighter "Hell Fighter (Asia) (Unl)"
hellokitnooha "Hello Kitty no Ohanabatake (Japan)"
hellokitwor "Hello Kitty World (Hack, English)"
hellokitworj "Hello Kitty World (Japan)"
heohdemo "HEOH demo (HB, Tech-Demo)"
heracles "Glory of Heracles, The - Labors of the Divine Hero (Hack, English)"
heracles2 "Glory of Heracles II, The - Titans' Downfall (Hack, English v1.31)"
heracles2j "Heracles no Eikou II - Titan no Metsubou (Japan)"
heracles2s "Glory of Heracles II, The - Titans' Downfall (Hack, Spanish)"
heraclesj "Heracles no Eikou - Toujin Makyou Den (Japan)"
heracless "Glory of Heracles, The - Labors of the Divine Hero (Hack, Spanish v1.1)"
heroquest "Hero Quest (USA) (Prototype)"
heroqueste "Hero Quest (Euro, Prototype)"
higem "Higemaru - Makai-jima - Nanatsu no Shima Daibouken (Japan)"
highspeed "High Speed (USA)"
highwaystar "Highway Star (Japan)"
hikarnosenphoulgaon "Hikari no Senshi Photon - The Ultimate Game on Planet Earth (Hack, English)"
hikarnosenphoulgaonjlea "Hikari no Senshi Photon - The Ultimate Game on Planet Earth (Japan)"
hinothouhen "Hinotori Houou Hen - Gaou no Bouken (Hack, English)"
hinothouhenj "Hinotori Houou Hen - Gaou no Bouken (Japan)"
hiryunoken "Hiryuu no Ken - Ougi no Sho (Japan)"
hiryunokenii "Hiryuu no Ken II - Dragon no Tsubasa (Japan)"
hiryunokeniii "Hiryuu no Ken III - 5 Nin no Ryuu Senshi (Japan)"
hiryunokenspe "Hiryuu no Ken Special - Fighting Wars (Japan)"
hitlenofuk "Hitler no Fukkatsu - Top Secret (Japan)"
hitlenofukc "Hitler no Fukkatsu - Top Secret (China)"
hoboalbo "Hobo Albo's Big Adventure (HB)"
hogansalley "Hogan's Alley (USA)"
hokutonoken "Hokuto no Ken (Japan)"
hokutonoken2 "Hokuto no Ken 2 (Japan)"
hokutonoken2c "Hokuto no Ken 2 (Hack, Spanish v1.1)"
hokutonoken3 "Hokuto no Ken 3 - Shin Seiki Souzou Seiken Restuden (Hack, English)"
hokutonoken3c "Hokuto no Ken 3 - Shin Seiki Souzou Seiken Restuden (Hack, Spanish)"
hokutonoken3j "Hokuto no Ken 3 - Shin Seiki Souzou Seiken Restuden (Japan)"
hokutonoken4 "Hokuto no Ken 4 - Shichisei Haken Den (Japan)"
hokutonokenop "Hokuto no Ken - OVERHAUL Patch (Hack)"
hollowkgg "Hollow Knight Grab Grub (HB)"
holydiver "Holy Diver (Hack, English)"
holydiverj "Holy Diver (Japan)"
homealo2 "Home Alone 2 - Lost in New York (USA)"
homealone "Home Alone (USA, Rev A)"
hook "Hook (USA)"
hoops "Hoops (USA)"
hoppinmad "Hoppin' Mad (Prototype)"
hosmiruhito "Hoshi wo Miru Hito (Japan)"
hosta "Hostages - The Embassy Mission (Japan)"
hottanochitan "Hottaaman no Chitei Tanken (Japan)"
huangdi "Huang Di (Asia) (Unl)"
hudsonhawk "Hudson Hawk (USA)"
hugeinsect "Huge Insect (Asia) (Unl)"
huntredoct "Hunt for Red October, The (USA)"
hyakuen "Hyaku no Sekai no Monogatari - The 100 World Story (Hack, English)"
hyakuit "Hyaku no Sekai no Monogatari ~ The 100 World Story (Hack, Italian)"
hyakujp "Hyaku no Sekai no Monogatari ~ The 100 World Story (Japan)"
hydlide "Hydlide (USA)"
hydlidec "Hydlide (Hack, Spanish)"
hydlidej "Hydlide Special (Japan)"
iceclimber "Ice Climber (USA, Euro)"
icehockey "Ice Hockey (USA)"
iceicehoccha "Ice Ice! Hockey Challenge (Hack, English)"
ikariwarii "Ikari Warriors II - Victory Road (USA)"
ikariwariii "Ikari Warriors III - The Rescue (USA)"
ikariwarriors "Ikari Warriors (USA, Rev A)"
ikeikenekhocbu "Ike Ike! Nekketsu Hockey-bu - Subette Koronde Dairantou (Japan)"
ikki "Ikki (Japan)"
ilovesball "I Love Softball (Hack, English v0.991)"
ilovesballj "I Love Softball (Japan)"
imagefight "Image Fight (USA)"
immortalthe "Immortal, The (USA)"
immortalthec "Immortal, The (Hack, Spanish)"
imposmisii "Impossible Mission II (USA)"
increcradum "Incredible Crash Dummies, The (USA)"
indiajonandlascr "Indiana Jones and the Last Crusade (USA) (UBI Soft)"
indiajonandlascrt "Indiana Jones and the Last Crusade (USA) (Taito)"
indiajonandtemdo "Indiana Jones and the Temple of Doom (USA, Rev A)"
indivisible "Indivisible (HB)"
infiltrator "Infiltrator (USA)"
insectorx "Insector X (Japan)"
intercri "International Cricket (Australia)"
inttrans "Interglactic Transmissing (HB)"
inversion "Inversion (HB, v1.4)"
irons "Ironsword - Wizards & Warriors II (USA)"
irontan "Iron Tank - The Invasion of Normandy (USA)"
irritship "Irritating Ship (HB)"
isolatedwarrior "Isolated Warrior (USA)"
isostasy "Isostasy (HB, v2.2)"
ivanirostessuoffro "Ivan 'Ironman' Stewart's Super Off Road (USA)"
