1942sgm "1942 (SGM) (HB)"
ghost "Ghost (SGM) (HB)"
ghostbst "Ghostbusters (SGM) (HB)"
ghostrap "Ghost Trap (HB)"
gnz "Ghosts'n Zombies (HB)"
golgo13 "Golgo 13 (HB)"
goonies "Goonies, The (Team Pixelboy) (SGM) (HB)"
gooniesoc "Goonies, The (Opcode) (SGM) (HB)"
gorf "Gorf"
gpvic20 "GamePack Vic-20 (HB)"
gpworld "GP World (HB)"
gradius "Gradius (SGM) (HB)"
gradiusa "Gradius (SGM) (HB, Alt)"
guardic "Guardic (SGM) (HB)"
gulkave "Gulkave (HB)"
gunfright "Gun Fright (SGM) (HB)"
gustbust "Gust Buster"
gyruss "Gyruss"
hamsterww "Hamster with Wire (HB)"
hazzard "Dukes of Hazzard, The"
hchumy "Hustle Chumy (HB)"
heist "Heist, The"
helifire "HeliFire (HB)"
hero "H.E.R.O."
heroesar "Heroes Arena (SGM) (HB)"
holeone "Hole in One (SGM) (HB)"
hopman "Hopman (HB)"
hrally "Hyper Rally (SGM) (HB, Prototype)"
hustler "Video Hustler (Prototype)"
hustler1 "Video Hustler (Prototype, 19840727)"
icemuncher "Ice Muncher (HB)"
iceworld "Ice World (SGM) (HB)"
illusion "Illusions"
impetus "Impetus (HB)"
insanepick "Insane Pickin' Sticks (HB)"
jawbreaker "Jawbreaker I & II (SGM) (HB)"
jbond "James Bond 007"
jeepcrep "Jeepers Creepers (HB)"
jetpac "J.E.T.P.A.C. (SGM) (HB)"
jmpmanjr "Jumpman Junior"
jmpmanjra "Jumpman Junior (Alt)"
joust "Joust (Prototype)"
joustsgm "Joust (SGM) (HB)"
jukebox "Juke Box"
jumpland "Jump Land (SGM) (HB)"
jungleh "Jungle Hunt"
junkwall "Junkwall (HB)"
junofirst "Juno First (SGM) (HB)"
kaboom "Kaboom! (HB)"
karateka2 "Karateka 2 (HB)"
kevtris "Kevtris (HB)"
keykaper "Keystone Kapers"
kingball "King & Balloon (SGM) (HB)"
