3ninmj "San-nin Mahjong (Japan, OMV)"
ninjaprie "Ninja Princess (Hack, T-Eng)"
ninjaprit "Renzhe Gongzhu (Taiwan)"
nsub "N-Sub (Euro?)"
nsuba "N-Sub (Japan)"
nsubb "N-Sub (Japan, Alt)"
nsubt "N-Sub (Taiwan)"
orguss "Orguss (Euro, Japan)"
othello "Othello (Japan)"
pacar "Pacar (Euro, Japan)"
pacara "Pacar (Japan, Alt)"
pacart "Pacar (Taiwan)"
pachink2 "Pachinko II (Japan)"
pachink2t "Pachinko II (Taiwan)"
pachinko "Pachinko (Japan)"
palikat "Palikat (HB)"
pegged "Pegged (HB, v1.02)"
pingpong "Ping Pong (Taiwan)"
pitfall2 "Pitfall II - The Lost Caverns (Japan, v1)"
pitfall2a "Pitfall II - The Lost Caverns (Japan, v0)"
pitman "Pitman (HB, v1.03)"
popflame "Pop Flamer (Euro, Japan)"
popflamet "Pop Flamer (Taiwan)"
qbert "Q*bert (Japan, OMV)"
qie "Qi E (Taiwan)"
rallyx "Rally-X (Taiwan)"
roadfght "Road Fighter (Taiwan)"
rocknbol "Rock n' Bolt (Japan)"
safarihu "Safari Hunting (Japan)"
safarihut "Safari Hunting (Taiwan)"
safarirc "Safari Race (Euro)"
safarircj "Safari Race (Japan)"
safarirct "Safari Race (Taiwan)"
segaflip "Sega Flipper (Euro, Japan)"
segaflipa "Sega Flipper (Japan, Alt)"
segaflipt "Flipper (Taiwan)"
segagala "Sega-Galaga (Japan)"
segagala1 "Sega-Galaga (Japan, Alt)"
serizawa "Serizawa Hachidan no Tsumeshogi (Japan)"
sgthelmet "Sgt. Helmet - Training Day (HB)"
shinnyus "Shinnyushain Tooru Kun (Japan)"
shinnyust "Shinnyushain Tooru Kun (Taiwan)"
sindbadm "Sindbad Mystery (Euro, Japan)"
sindbadmt "Sindbad Mystery (Taiwan)"
snake "Snake (HB, v1.04)"
sokoban "Soukoban (Japan)"
sokobank "Soukoban (Korea)"
sokobant "Soukoban (Taiwan)"
spacearm "Space Armor (Japan, v20, OMV)"
spacearma "Space Armor (Japan, v20, OMV, Alt)"
spacearmb "Space Armor (Japan, v10, OMV)"
spaceinv "Space Invaders (Japan)"
spaceinvt "Space Invaders (Taiwan)"
spacemnt "Space Mountain (Japan, OMV)"
spacerocks "Space Rocks (HB)"
spacesla "Space Slalom (Japan)"
starfrce "Star Force (Japan)"
starfrcet "Star Force (Taiwan)"
starfrceta "Star Force (Taiwan, Alt)"
starjack "Star Jacker (Euro, Japan, v1.2)"
starjack1 "Star Jacker (Euro, Japan, v1.1)"
starjack2 "Star Jacker (Japan, v1.0)"
starjackt "Star Jacker (Taiwan)"
supertnk "Super Tank (Japan)"
supertnkk "Super Tank (Korea)"
supertnkt "Chaoji Tanke (Taiwan)"
superuwol "Super UWOL! (HB)"
sxpao "Twinbee (Taiwan)"
ultdungesc "Ultimate Dungeon Escape (HB)"
vexed "Vexed (HB, v1.08)"
wboy "Wonder Boy (Japan, v1)"
wboya "Wonder Boy (Japan, v0)"
wboyt "Taotailang (Taiwan)"
wsbyrons "Whack 'Em Smack 'Em Byrons (HB)"
yamato "Yamato (Euro, Japan)"
yamatoa "Yamato (Euro, Japan, Alt)"
yamatot "Yamato (Taiwan)"
yawi "Yawi (HB, v0.9.3)"
yewdow "Yewdow (HB)"
yiear "Yie Ar Kung-Fu (Taiwan)"
zaxxon "Zaxxon (Japan)"
zaxxont "Zaxxon (Taiwan)"
zippyrac "Zippy Race (Japan)"
zippyract "Zippy Race (Taiwan)"
zoom909 "Zoom 909 (Japan)"
